Order Date,Region,State,Category,Sub-Category,Product Name,Sales,Profit,Quantity,Discount,Customer Segment,Ship Mode
04/14/2021,South,South Carolina,Furniture,Furnishings,Eldon Desk Lamp,4156.37,1377.41,11,0.5,Consumer,Second Class
05/01/2021,South,Louisiana,Office Supplies,Paper,Universal Legal Pad,5.32,-0.08,3,0.3,Corporate,First Class
01/24/2022,South,Kentucky,Technology,Copiers,Xerox WorkCentre Copier,5235.25,510.48,5,0.1,Home Office,Standard Class
04/27/2021,Central,Texas,Furniture,Furnishings,Tenex Chair Mat,6922.63,-1446.05,9,0,Consumer,Second Class
06/22/2024,South,Georgia,Technology,Machines,Canon imageCLASS Printer,1118.78,99.72,2,0.3,Corporate,First Class
09/26/2021,West,Colorado,Furniture,Tables,Lesro Reception Table,937.19,-56.51,11,0.7,Consumer,Standard Class
01/07/2024,South,Mississippi,Technology,Phones,Apple iPhone Case,680.57,210.95,4,0.5,Consumer,Second Class
06/06/2024,Central,Wisconsin,Furniture,Furnishings,Advantus Wall Clock,1893.32,285.36,13,0.7,Home Office,First Class
02/08/2024,East,New Jersey,Office Supplies,Art,Newell Highlighters,183.28,-22.66,3,0.15,Corporate,Second Class
07/09/2021,Central,Kansas,Office Supplies,Labels,Avery Round Labels,1599.12,-357.48,11,0.3,Corporate,Second Class
02/23/2024,Central,Ohio,Technology,Copiers,Ricoh Office Copier,118.04,33.04,1,0,Consumer,Standard Class
09/19/2021,Central,Nebraska,Technology,Machines,Epson Scanner,388.15,120.27,1,0.15,Consumer,First Class
02/21/2024,West,Nevada,Technology,Phones,Motorola Phone Stand,11460.02,2288.41,14,0.3,Consumer,Second Class
04/24/2023,West,Utah,Furniture,Chairs,Bush Mid-Back Chair,3043.47,719.63,13,0.7,Corporate,Second Class
02/13/2022,East,Vermont,Furniture,Furnishings,Tenex Chair Mat,2752.68,667.03,14,0.4,Consumer,Second Class
05/23/2021,East,Massachusetts,Office Supplies,Envelopes,Security Envelopes,984.38,54.77,13,0.15,Home Office,First Class
03/20/2021,East,Pennsylvania,Office Supplies,Binders,Wilson Jones Binder,87.82,16.43,2,0.6,Corporate,Same Day
04/01/2021,East,Vermont,Technology,Machines,Brother Fax Machine,268.62,82.02,12,0.3,Home Office,Second Class
09/20/2024,Central,Missouri,Furniture,Tables,Chromcraft Round Table,9147.37,-638.55,14,0,Corporate,Same Day
01/28/2022,Central,Missouri,Technology,Accessories,Kensington Keyboard,2373.47,371.19,7,0.7,Consumer,First Class
03/07/2022,South,Kentucky,Furniture,Tables,Chromcraft Round Table,1550.81,-87.85,7,0.6,Corporate,Same Day
08/05/2022,West,Montana,Office Supplies,Binders,Avery Durable Binder,429.22,-20.98,9,0.7,Consumer,First Class
05/17/2022,West,Nevada,Furniture,Bookcases,Sauder Heritage Bookcase,2456.86,-506.86,8,0.6,Corporate,Second Class
09/05/2024,South,Louisiana,Office Supplies,Paper,HP Premium Paper,2680.56,713.74,12,0,Consumer,Same Day
02/16/2024,West,Oregon,Technology,Copiers,Canon Copier,2256.24,520.85,4,0,Home Office,First Class
11/22/2021,South,Mississippi,Technology,Copiers,Ricoh Office Copier,4007.39,805.75,12,0.4,Home Office,First Class
08/09/2022,South,South Carolina,Office Supplies,Supplies,Scissors Set,289.99,82.88,4,0.15,Consumer,Second Class
05/12/2021,West,Nevada,Office Supplies,Binders,GBC Binding Cover,411.89,12.17,7,0.3,Consumer,Second Class
09/04/2023,South,Alabama,Technology,Phones,OtterBox Phone Cover,303.5,-4.86,1,0.2,Corporate,Second Class
03/01/2021,South,South Carolina,Office Supplies,Fasteners,Acco Binder Clips,940.13,215.18,7,0.2,Home Office,Second Class
04/27/2024,South,North Carolina,Technology,Phones,OtterBox Phone Cover,185.13,25.11,10,0.7,Consumer,Same Day
03/10/2022,West,California,Office Supplies,Fasteners,Officemate Paper Clips,548.48,152.36,8,0.2,Corporate,Same Day
12/18/2022,Central,Illinois,Office Supplies,Storage,Fellowes Storage Box,22.82,7.4,4,0.7,Consumer,Standard Class
09/16/2021,West,Nevada,Furniture,Chairs,HON Executive Leather Chair,289.59,92.28,8,0.7,Corporate,First Class
09/30/2022,Central,Ohio,Technology,Phones,Samsung Galaxy Charger,48.04,-3.02,2,0.6,Home Office,Same Day
11/28/2024,South,South Carolina,Furniture,Chairs,Global Deluxe Task Chair,8489.25,935.91,13,0.15,Consumer,Standard Class
11/03/2023,Central,Kansas,Office Supplies,Envelopes,Kraft Envelope Pack,45.21,0.09,11,0.2,Corporate,Standard Class
06/11/2023,South,Tennessee,Technology,Copiers,Xerox WorkCentre Copier,384.27,53.9,3,0.8,Home Office,Same Day
05/18/2022,South,Alabama,Technology,Accessories,SanDisk USB Drive,4988.84,102.18,14,0,Corporate,Same Day
09/26/2023,Central,Texas,Office Supplies,Envelopes,Poly Mailer Bundle,639.56,-29.29,4,0.2,Home Office,First Class
04/13/2023,East,Rhode Island,Furniture,Bookcases,Hon Metal Bookcase,2748.74,451.8,8,0.5,Home Office,Same Day
04/09/2023,South,Florida,Furniture,Tables,Bush Somerset Table,3126.18,309.28,12,0.1,Corporate,First Class
07/09/2022,South,Kentucky,Office Supplies,Envelopes,Manila Envelopes,251.49,45.96,5,0.15,Corporate,Standard Class
04/22/2024,West,Nevada,Furniture,Furnishings,Advantus Wall Clock,3543.64,1198.84,13,0.5,Consumer,First Class
12/21/2024,West,Colorado,Furniture,Tables,Bretford Conference Table,2352.55,787.11,9,0,Home Office,First Class
08/20/2023,West,Idaho,Furniture,Bookcases,Bush Wood Bookcase,1535.14,505.52,8,0.4,Corporate,Same Day
03/27/2024,East,Pennsylvania,Office Supplies,Supplies,Scissors Set,50.47,-8.1,11,0.7,Home Office,First Class
12/07/2023,East,Massachusetts,Furniture,Furnishings,Tenex Chair Mat,3441.83,-246.39,7,0.4,Home Office,Same Day
03/02/2022,Central,Nebraska,Technology,Phones,Apple iPhone Case,3362.4,-676.81,11,0.1,Consumer,Second Class
11/12/2024,East,New Jersey,Furniture,Furnishings,Fellowes Monitor Stand,1657.85,-184.21,10,0.4,Home Office,First Class
07/04/2024,South,Georgia,Technology,Machines,Brother Fax Machine,2911.71,-382.33,10,0.7,Consumer,Second Class
12/06/2021,West,Arizona,Furniture,Bookcases,Sauder Heritage Bookcase,6007.21,1469.03,13,0.15,Corporate,Same Day
07/12/2022,East,New Hampshire,Technology,Accessories,Belkin Surge Protector,2734.83,-551.71,9,0.5,Consumer,Same Day
04/14/2022,Central,Nebraska,Office Supplies,Storage,Fellowes Storage Box,649.47,-154.28,11,0.6,Home Office,First Class
01/07/2022,East,New Jersey,Office Supplies,Supplies,Swingline Stapler,1115.99,50.26,10,0.3,Consumer,Same Day
11/26/2021,Central,Missouri,Office Supplies,Envelopes,Kraft Envelope Pack,730.93,-56.33,6,0.3,Corporate,Standard Class
08/26/2021,South,Georgia,Office Supplies,Labels,Avery Shipping Labels,1970.13,482.6,13,0.3,Consumer,Same Day
07/04/2024,South,Florida,Furniture,Tables,Lesro Reception Table,1593.05,126.7,8,0,Corporate,Same Day
09/29/2022,South,Georgia,Furniture,Chairs,HON Executive Leather Chair,4553.83,-883.78,9,0,Consumer,Same Day
05/01/2023,East,New Jersey,Office Supplies,Labels,Avery Shipping Labels,2058.85,-213.63,14,0.4,Home Office,Second Class
07/20/2022,South,South Carolina,Technology,Machines,Canon imageCLASS Printer,3891.65,866.4,13,0.3,Corporate,Standard Class
07/04/2023,Central,Wisconsin,Technology,Copiers,Xerox WorkCentre Copier,2342.49,190.09,9,0.4,Home Office,Same Day
04/24/2022,South,Tennessee,Furniture,Chairs,Novimex Swivel Chair,572.41,112.66,14,0.3,Home Office,Same Day
10/26/2023,South,North Carolina,Office Supplies,Storage,Iris Stackable Bin,1741.49,478.06,10,0.2,Corporate,Standard Class
09/02/2024,South,Florida,Technology,Machines,Epson Scanner,1737.91,576.16,3,0,Corporate,Same Day
07/07/2024,East,Maine,Technology,Copiers,Sharp Digital Copier,7564.95,-1728.29,12,0.4,Consumer,Second Class
07/21/2021,Central,Michigan,Technology,Phones,OtterBox Phone Cover,3328.85,-631.47,13,0.7,Consumer,First Class
01/05/2023,East,New York,Office Supplies,Storage,Sterilite Storage Tote,160.03,10.99,6,0.3,Home Office,Second Class
10/17/2023,West,Oregon,Furniture,Furnishings,Tenex Chair Mat,2243.26,297.78,10,0,Corporate,First Class
06/24/2023,East,New Hampshire,Office Supplies,Binders,Avery Durable Binder,182.86,59.83,6,0.6,Home Office,First Class
08/07/2021,South,Virginia,Furniture,Furnishings,Fellowes Monitor Stand,1465.22,139.03,4,0.3,Home Office,First Class
05/26/2024,East,Vermont,Office Supplies,Storage,Fellowes Storage Box,1501.52,438.08,12,0.4,Consumer,First Class
07/10/2024,West,Nevada,Technology,Accessories,Kensington Keyboard,471.73,-30.49,2,0.7,Corporate,Standard Class
05/01/2023,Central,Ohio,Furniture,Tables,Chromcraft Round Table,368.01,27.1,3,0.1,Corporate,First Class
08/24/2021,West,Arizona,Office Supplies,Labels,Avery Shipping Labels,295.26,97.41,8,0,Home Office,Same Day
01/04/2024,Central,Illinois,Office Supplies,Storage,Sterilite Storage Tote,112.09,22.35,2,0.4,Corporate,Same Day
02/21/2021,Central,Illinois,Technology,Machines,Epson Scanner,2068.84,240.09,10,0.5,Home Office,Standard Class
10/14/2021,South,Virginia,Technology,Copiers,Canon Copier,386.11,17.6,1,0,Consumer,Second Class
04/17/2024,West,Utah,Office Supplies,Envelopes,Manila Envelopes,96.77,-0.1,12,0.8,Consumer,Same Day
06/28/2023,South,Virginia,Furniture,Tables,Bush Somerset Table,5564.13,-1059.34,8,0.1,Home Office,First Class
09/08/2021,Central,Texas,Office Supplies,Labels,Avery File Labels,207.77,-25.5,14,0.4,Home Office,Standard Class
05/21/2021,East,Maine,Furniture,Chairs,HON Executive Leather Chair,1416.09,-170.54,14,0.5,Consumer,First Class
01/12/2024,West,California,Office Supplies,Binders,GBC Binding Cover,146.31,39.48,5,0,Consumer,Standard Class
12/23/2021,Central,Michigan,Technology,Accessories,Logitech Wireless Mouse,891.54,2.3,5,0,Consumer,Standard Class
10/29/2023,South,Louisiana,Office Supplies,Art,Bic Pen Pack,20.41,4.49,4,0.6,Home Office,First Class
05/24/2023,South,Florida,Furniture,Furnishings,Fellowes Monitor Stand,4965.8,1468.99,11,0,Consumer,Standard Class
07/18/2022,Central,Nebraska,Furniture,Bookcases,Hon Metal Bookcase,1605.36,284.62,10,0.7,Corporate,First Class
12/08/2024,South,Kentucky,Technology,Copiers,Canon Copier,474.94,100.39,2,0.7,Home Office,Second Class
07/18/2023,South,Louisiana,Furniture,Furnishings,Advantus Wall Clock,3244.09,-202.66,7,0.3,Corporate,First Class
07/06/2021,Central,Ohio,Technology,Copiers,Canon Copier,1947.11,-373.96,14,0,Home Office,First Class
04/22/2023,West,Montana,Furniture,Tables,Bretford Conference Table,1526.75,5.74,6,0.7,Home Office,Standard Class
03/29/2024,Central,Nebraska,Office Supplies,Envelopes,Kraft Envelope Pack,327.02,12.86,9,0.1,Consumer,First Class
02/23/2024,Central,Illinois,Office Supplies,Paper,Universal Legal Pad,801.66,108.72,13,0.6,Consumer,First Class
12/20/2022,East,New Jersey,Office Supplies,Labels,Avery Shipping Labels,217.73,19.55,1,0,Corporate,Standard Class
05/10/2023,West,California,Furniture,Chairs,Novimex Swivel Chair,1014.53,-63.93,8,0.2,Corporate,Standard Class
07/12/2022,East,New Jersey,Furniture,Bookcases,Sauder Heritage Bookcase,943.52,107.79,8,0.7,Corporate,First Class
08/16/2021,West,Montana,Furniture,Tables,Lesro Reception Table,925.6,38.86,5,0.7,Home Office,First Class
02/23/2022,East,Massachusetts,Office Supplies,Storage,Fellowes Storage Box,865.36,180.42,5,0.1,Corporate,First Class
09/22/2021,East,New York,Office Supplies,Fasteners,Bostitch Push Pins,617.79,30.99,7,0.5,Home Office,First Class
02/08/2021,East,Vermont,Technology,Phones,OtterBox Phone Cover,8309.35,793.17,8,0,Home Office,Same Day
10/28/2022,South,Virginia,Furniture,Furnishings,Eldon Desk Lamp,509.86,83.5,3,0.6,Corporate,Standard Class
12/10/2023,South,Georgia,Furniture,Furnishings,Fellowes Monitor Stand,1100.49,217.33,2,0.3,Consumer,First Class
12/17/2022,West,Washington,Technology,Phones,Samsung Galaxy Charger,1381.35,189.61,6,0.8,Consumer,Second Class
05/18/2024,East,New Jersey,Office Supplies,Paper,HP Premium Paper,18.62,5.97,3,0.7,Home Office,Same Day
07/08/2024,South,Mississippi,Technology,Copiers,Sharp Digital Copier,3267.13,102.43,6,0,Home Office,First Class
09/28/2022,Central,Nebraska,Furniture,Tables,Bretford Conference Table,254.85,-7.33,8,0.4,Corporate,Standard Class
07/11/2023,East,Rhode Island,Office Supplies,Supplies,Scissors Set,851.01,-48.58,13,0.6,Corporate,Second Class
10/31/2023,East,New Hampshire,Furniture,Tables,Bretford Conference Table,598.9,104.55,11,0,Corporate,Second Class
11/24/2022,Central,Minnesota,Office Supplies,Fasteners,Acco Binder Clips,65.94,8.48,11,0.6,Corporate,Standard Class
06/01/2022,Central,Illinois,Technology,Copiers,Sharp Digital Copier,4170.1,465.47,12,0.7,Consumer,First Class
09/22/2021,East,New Jersey,Office Supplies,Labels,Kroy Label Tape,469.25,-30.15,10,0.8,Corporate,First Class
02/07/2021,West,Montana,Furniture,Furnishings,Advantus Wall Clock,911.02,-110.67,6,0.15,Corporate,Second Class
07/27/2021,West,Oregon,Furniture,Bookcases,Bush Wood Bookcase,3397.07,951.89,9,0.5,Consumer,First Class
11/19/2024,West,Utah,Furniture,Chairs,HON Executive Leather Chair,3806.18,-573.5,13,0.6,Corporate,Standard Class
06/04/2024,South,Tennessee,Technology,Machines,Epson Scanner,947.05,-103.8,5,0.8,Consumer,First Class
08/01/2022,South,South Carolina,Office Supplies,Supplies,Tape Dispenser,1153.16,1.38,13,0.3,Consumer,Second Class
02/10/2024,West,Arizona,Furniture,Furnishings,Advantus Wall Clock,305.75,79.71,2,0.8,Corporate,Standard Class
07/07/2021,West,Arizona,Office Supplies,Binders,Cardinal Ring Binder,531.33,163.8,4,0.4,Corporate,Standard Class
06/17/2021,South,Kentucky,Office Supplies,Paper,Universal Legal Pad,48.55,14.98,6,0.1,Home Office,First Class
11/26/2024,West,Oregon,Furniture,Tables,Lesro Reception Table,9628.92,302.98,14,0,Home Office,Standard Class
01/29/2024,East,New York,Office Supplies,Paper,HP Premium Paper,637.86,-116.91,12,0.6,Corporate,Second Class
08/01/2024,Central,Illinois,Furniture,Chairs,Novimex Swivel Chair,2195.75,-402.89,13,0.6,Corporate,Standard Class
06/13/2024,West,Oregon,Office Supplies,Fasteners,Staples Standard Staples,775.03,-106.65,6,0.1,Home Office,Standard Class
08/21/2023,Central,Illinois,Technology,Phones,OtterBox Phone Cover,144.8,-3.77,1,0.7,Home Office,Standard Class
04/06/2024,Central,Illinois,Office Supplies,Paper,Xerox Copy Paper,336.82,-13.01,12,0.2,Corporate,Second Class
05/10/2021,South,Louisiana,Technology,Machines,HP LaserJet Printer,527.55,-68.08,12,0.4,Consumer,Standard Class
06/03/2022,Central,Wisconsin,Technology,Copiers,Ricoh Office Copier,76.08,-2.72,1,0.7,Consumer,First Class
06/20/2023,Central,Illinois,Office Supplies,Fasteners,Acco Binder Clips,1363.51,65.07,7,0.2,Corporate,First Class
06/01/2023,Central,Illinois,Technology,Copiers,Canon Copier,6682.05,-382.7,10,0,Consumer,First Class
11/13/2024,Central,Wisconsin,Office Supplies,Fasteners,Bostitch Push Pins,722.48,134.45,8,0.2,Corporate,Same Day
11/17/2023,Central,Texas,Furniture,Furnishings,Advantus Wall Clock,1606.49,516.77,13,0.8,Consumer,Same Day
01/12/2023,East,New Jersey,Furniture,Chairs,Bush Mid-Back Chair,135.8,-21.45,7,0.6,Corporate,First Class
03/27/2023,Central,Iowa,Furniture,Chairs,Bush Mid-Back Chair,477.44,155.79,6,0.7,Consumer,Second Class
06/18/2022,South,Kentucky,Office Supplies,Art,Crayola Colored Pencils,397.54,46.56,12,0.4,Home Office,Same Day
12/20/2021,West,Washington,Furniture,Bookcases,O'Sullivan 5-Shelf Bookcase,6462.65,1527.18,12,0.4,Corporate,First Class
11/19/2021,East,Rhode Island,Technology,Accessories,SanDisk USB Drive,2675.93,354.88,12,0.8,Corporate,Second Class
02/23/2021,East,Massachusetts,Furniture,Chairs,Novimex Swivel Chair,1570.81,47.82,6,0.5,Home Office,Second Class
12/13/2023,East,Pennsylvania,Office Supplies,Fasteners,Acco Binder Clips,1010.32,-207.87,7,0.3,Corporate,Standard Class
02/04/2024,South,Louisiana,Technology,Accessories,Kensington Keyboard,1068.75,352.43,11,0.6,Corporate,Standard Class
11/28/2021,East,Rhode Island,Furniture,Tables,Bush Somerset Table,262.1,83.48,6,0.8,Home Office,First Class
07/04/2024,East,Connecticut,Furniture,Tables,Bush Somerset Table,978.92,50.46,5,0.6,Consumer,Second Class
06/16/2021,West,Colorado,Technology,Phones,Apple iPhone Case,279.63,-25.5,1,0.7,Consumer,Same Day
09/17/2023,East,New Hampshire,Technology,Accessories,SanDisk USB Drive,606.15,13.41,4,0.7,Home Office,Standard Class
02/22/2022,West,Idaho,Office Supplies,Supplies,Tape Dispenser,90.31,24.1,6,0.6,Corporate,First Class
05/11/2022,South,North Carolina,Office Supplies,Art,Crayola Colored Pencils,546.66,-55.35,8,0,Consumer,Standard Class
11/24/2021,Central,Missouri,Technology,Copiers,Xerox WorkCentre Copier,12571.88,2296.59,14,0.2,Consumer,Second Class
10/16/2023,South,Kentucky,Office Supplies,Supplies,Swingline Stapler,236.42,12.59,1,0,Consumer,Second Class
05/08/2024,Central,Texas,Furniture,Tables,Lesro Reception Table,2569.64,-201.85,14,0.7,Consumer,Standard Class
01/20/2023,South,North Carolina,Office Supplies,Envelopes,Manila Envelopes,10.28,0.9,1,0.3,Corporate,First Class
06/30/2024,East,Vermont,Technology,Copiers,Sharp Digital Copier,743.64,249.16,11,0.6,Corporate,First Class
05/18/2024,Central,Kansas,Office Supplies,Binders,GBC Binding Cover,793.92,-176.9,9,0.3,Consumer,First Class
11/03/2022,South,Kentucky,Office Supplies,Binders,GBC Binding Cover,338.4,116.53,10,0.2,Home Office,First Class
08/31/2023,Central,Kansas,Technology,Copiers,Sharp Digital Copier,6453.7,995.7,14,0,Corporate,First Class
04/10/2024,East,New Hampshire,Office Supplies,Paper,Xerox Copy Paper,1056.08,192.96,8,0,Corporate,Second Class
02/08/2021,West,California,Technology,Phones,Samsung Galaxy Charger,3327.83,-7.4,8,0.2,Consumer,Same Day
02/23/2024,South,Florida,Technology,Machines,HP LaserJet Printer,1061.45,-25.37,6,0.7,Consumer,Same Day
01/29/2022,Central,Kansas,Office Supplies,Labels,Kroy Label Tape,477.38,-54.94,4,0.15,Corporate,First Class
02/22/2024,West,Idaho,Office Supplies,Supplies,Swingline Stapler,181.53,-32.11,13,0.8,Home Office,Same Day
08/13/2022,South,Tennessee,Furniture,Tables,Bretford Conference Table,3897.6,60.12,12,0,Corporate,Same Day
10/09/2021,West,Nevada,Technology,Accessories,SanDisk USB Drive,717.47,-76.36,2,0.6,Consumer,Second Class
08/26/2023,West,California,Furniture,Furnishings,Advantus Wall Clock,418.96,-103.44,2,0.7,Home Office,Second Class
10/20/2022,South,Louisiana,Office Supplies,Paper,Boise Multi-Use Paper,25.01,5.28,5,0.7,Home Office,Second Class
03/25/2023,East,New Jersey,Office Supplies,Binders,Avery Durable Binder,376.0,74.98,13,0.4,Corporate,Standard Class
08/06/2022,East,Connecticut,Technology,Phones,Motorola Phone Stand,1597.59,74.04,8,0.7,Consumer,Same Day
07/29/2023,Central,Michigan,Furniture,Tables,Bush Somerset Table,6099.63,-1473.36,11,0.15,Corporate,First Class
11/22/2023,West,Oregon,Technology,Copiers,Ricoh Office Copier,2993.85,-577.12,6,0,Consumer,Same Day
04/28/2022,Central,Michigan,Furniture,Tables,Lesro Reception Table,5844.94,-402.32,8,0.15,Home Office,Standard Class
09/29/2024,Central,Minnesota,Technology,Machines,Canon imageCLASS Printer,466.76,-3.15,2,0.4,Home Office,First Class
10/01/2021,East,Connecticut,Office Supplies,Paper,HP Premium Paper,918.68,315.39,8,0,Corporate,Same Day
10/25/2024,South,Kentucky,Technology,Machines,HP LaserJet Printer,5468.15,-1098.43,13,0.6,Corporate,First Class
12/03/2021,East,Pennsylvania,Furniture,Chairs,HON Executive Leather Chair,1226.46,194.0,6,0.5,Home Office,Same Day
09/28/2021,East,Rhode Island,Office Supplies,Storage,Rubbermaid File Bin,726.3,-156.41,9,0.3,Corporate,First Class
03/30/2024,East,Vermont,Office Supplies,Storage,Iris Stackable Bin,214.15,36.45,2,0,Home Office,Standard Class
01/04/2022,East,New Hampshire,Furniture,Tables,Lesro Reception Table,9021.07,3040.1,13,0,Home Office,Same Day
06/14/2021,Central,Missouri,Office Supplies,Fasteners,Acco Binder Clips,722.33,-122.94,11,0.7,Corporate,Standard Class
01/08/2021,West,Montana,Office Supplies,Binders,GBC Binding Cover,3180.65,88.43,13,0,Home Office,Same Day
11/14/2021,South,South Carolina,Furniture,Furnishings,Advantus Wall Clock,3802.15,703.45,5,0.1,Consumer,Standard Class
05/18/2021,South,Mississippi,Furniture,Chairs,HON Executive Leather Chair,39.64,4.31,2,0.6,Home Office,Standard Class
01/11/2024,West,California,Office Supplies,Supplies,X-Acto Cutting Mat,147.01,50.88,4,0,Consumer,First Class
04/27/2023,Central,Michigan,Office Supplies,Binders,GBC Binding Cover,72.75,23.22,5,0.15,Home Office,Second Class
08/10/2024,South,Kentucky,Office Supplies,Storage,Sterilite Storage Tote,1515.97,-89.08,11,0.3,Corporate,Same Day
05/09/2022,West,Arizona,Office Supplies,Binders,Cardinal Ring Binder,964.94,168.43,14,0.1,Corporate,Standard Class
05/13/2022,South,Alabama,Technology,Machines,Epson Scanner,1873.83,-379.56,5,0.1,Corporate,First Class
07/04/2022,East,Rhode Island,Technology,Machines,Canon imageCLASS Printer,1549.41,-350.59,7,0.7,Consumer,Second Class
02/01/2021,West,Idaho,Furniture,Tables,Chromcraft Round Table,3119.86,-560.36,4,0.1,Corporate,Second Class
02/19/2023,West,Utah,Furniture,Tables,Chromcraft Round Table,2363.5,-153.5,8,0.5,Corporate,Same Day
02/21/2022,South,Georgia,Technology,Copiers,Sharp Digital Copier,2468.63,216.04,6,0.2,Consumer,Second Class
11/09/2021,East,Connecticut,Technology,Copiers,Sharp Digital Copier,957.19,87.94,4,0.2,Consumer,Same Day
12/11/2021,Central,Wisconsin,Office Supplies,Supplies,Tape Dispenser,422.19,76.92,12,0.2,Corporate,Second Class
01/14/2021,East,Rhode Island,Furniture,Bookcases,Sauder Heritage Bookcase,5330.08,-592.38,7,0,Home Office,Second Class
05/04/2021,East,Massachusetts,Technology,Copiers,Sharp Digital Copier,2430.31,291.42,10,0.7,Corporate,Same Day
02/04/2021,East,New York,Technology,Copiers,Canon Copier,632.6,212.86,9,0.8,Consumer,Same Day
01/29/2022,West,Washington,Furniture,Chairs,HON Executive Leather Chair,1210.64,-45.2,10,0.5,Corporate,Standard Class
09/07/2022,Central,Missouri,Office Supplies,Paper,HP Premium Paper,1805.39,478.3,11,0,Consumer,Standard Class
07/28/2024,South,Alabama,Office Supplies,Supplies,Scissors Set,8.9,0.44,1,0.8,Corporate,First Class
11/18/2024,East,Rhode Island,Furniture,Chairs,HON Executive Leather Chair,1551.38,472.39,10,0.4,Home Office,First Class
04/17/2024,East,New Jersey,Office Supplies,Storage,Iris Stackable Bin,123.35,37.91,3,0.8,Corporate,Second Class
10/14/2021,West,Utah,Technology,Accessories,Belkin Surge Protector,2280.91,115.13,13,0.8,Corporate,Standard Class
05/24/2024,East,Vermont,Furniture,Bookcases,Bush Wood Bookcase,4473.43,-53.58,13,0.6,Corporate,Standard Class
02/07/2024,Central,Iowa,Office Supplies,Paper,Boise Multi-Use Paper,235.51,23.91,7,0.3,Corporate,Standard Class
07/03/2022,Central,Michigan,Technology,Phones,Apple iPhone Case,1811.59,236.12,3,0.3,Home Office,Same Day
09/24/2022,Central,Minnesota,Furniture,Bookcases,Sauder Heritage Bookcase,4415.9,-833.11,8,0.2,Consumer,Second Class
02/23/2021,South,Louisiana,Technology,Copiers,Canon Copier,1085.5,117.4,2,0.2,Corporate,Same Day
02/20/2024,East,Connecticut,Office Supplies,Fasteners,Staples Standard Staples,209.97,33.84,4,0.6,Consumer,Second Class
05/10/2021,Central,Wisconsin,Office Supplies,Supplies,X-Acto Cutting Mat,147.92,-10.38,3,0.3,Consumer,First Class
07/27/2023,Central,Michigan,Technology,Copiers,Xerox WorkCentre Copier,772.9,246.78,2,0,Corporate,Same Day
09/08/2022,Central,Iowa,Office Supplies,Fasteners,Bostitch Push Pins,568.62,-73.63,6,0.6,Corporate,Second Class
10/30/2022,South,Tennessee,Office Supplies,Supplies,X-Acto Cutting Mat,1216.72,-17.32,7,0.15,Consumer,Second Class
06/17/2023,West,Montana,Furniture,Furnishings,Tenex Chair Mat,8304.38,-1731.5,13,0.15,Corporate,Same Day
05/17/2023,West,Arizona,Furniture,Tables,Bush Somerset Table,774.31,266.69,13,0.3,Corporate,Same Day
